,filename,Start (s),End (s),Confidence,label
197,ARM1_20220526_053000_017.wav,0.0,3.0,0.7697,veheng
198,ARM1_20220526_053000_018.wav,0.0,3.0,0.7201,veheng
199,ARM1_20220526_053000_019.wav,0.0,3.0,0.8054,veheng
200,ARM1_20220528_124500_000.wav,0.0,3.0,0.8779,veheng
201,ARM1_20220528_124500_001.wav,0.0,3.0,0.7497,veheng
202,ARM1_20220528_124500_002.wav,0.0,3.0,0.7395,veheng
203,ARM1_20220528_124500_003.wav,0.0,3.0,0.7235,veheng
204,ARM1_20220528_124500_004.wav,0.0,3.0,0.8773,veheng
205,ARM1_20220528_124500_005.wav,0.0,3.0,0.6739,veheng
206,ARM1_20220528_124500_006.wav,0.0,3.0,0.6981,veheng
207,ARM1_20220528_124500_007.wav,0.0,3.0,0.9027,veheng
208,ARM1_20220528_124500_008.wav,0.0,3.0,0.8317,veheng
209,ARM1_20220528_124500_009.wav,0.0,3.0,0.6786,veheng
210,ARM1_20220528_124500_010.wav,0.0,3.0,0.917,veheng
211,ARM1_20220528_124500_011.wav,0.0,3.0,0.9363,veheng
212,ARM1_20220528_124500_012.wav,0.0,3.0,0.8069,veheng
213,ARM1_20220528_124500_013.wav,0.0,3.0,0.6581,veheng
214,ARM1_20220528_124500_014.wav,0.0,3.0,0.5819,veheng
215,ARM1_20220528_124500_015.wav,0.0,3.0,0.6874,veheng
216,ARM1_20220528_124500_016.wav,0.0,3.0,0.6019,veheng
217,ARM1_20220528_124500_017.wav,0.0,3.0,0.7443,veheng
218,ARM1_20220528_124500_018.wav,0.0,3.0,0.7409,veheng
219,ARM1_20220528_124500_019.wav,0.0,3.0,0.8142,veheng
220,ARM1_20220529_200000_000.wav,0.0,3.0,0.8065,veheng
221,ARM1_20220529_200000_001.wav,0.0,3.0,0.7125,veheng
222,ARM1_20220529_200000_002.wav,0.0,3.0,0.5846,veheng
223,ARM1_20220529_200000_003.wav,0.0,3.0,0.4892,veheng
224,ARM1_20220529_200000_004.wav,0.0,3.0,0.4962,veheng
225,ARM1_20220529_200000_005.wav,0.0,3.0,0.5487,veheng
226,ARM1_20220529_200000_006.wav,0.0,3.0,0.7981,veheng
227,ARM1_20220529_200000_007.wav,0.0,3.0,0.4415,veheng
228,ARM1_20220529_200000_008.wav,0.0,3.0,0.4622,veheng
229,ARM1_20220529_200000_009.wav,0.0,3.0,0.3953,veheng
230,ARM1_20220529_200000_010.wav,0.0,3.0,0.6391,veheng
231,ARM1_20220529_200000_011.wav,0.0,3.0,0.8631,veheng
232,ARM1_20220529_200000_012.wav,0.0,3.0,0.5197,veheng
233,ARM1_20220529_200000_013.wav,0.0,3.0,0.6995,veheng
234,ARM1_20220529_200000_014.wav,0.0,3.0,0.5839,veheng
235,ARM1_20220529_200000_015.wav,0.0,3.0,0.8453,veheng
236,ARM1_20220529_200000_016.wav,0.0,3.0,0.7444,veheng
237,ARM1_20220529_200000_017.wav,0.0,3.0,0.7416,veheng
238,ARM1_20220529_200000_018.wav,0.0,3.0,0.7186,veheng
239,ARM1_20220529_200000_019.wav,0.0,3.0,0.8366,veheng
240,ARM1_20220602_154500_000.wav,0.0,3.0,0.6617,veheng
241,ARM1_20220602_154500_001.wav,0.0,3.0,0.7118,veheng
242,ARM1_20220602_154500_002.wav,0.0,3.0,0.6541,veheng
243,ARM1_20220602_154500_003.wav,0.0,3.0,0.7116,veheng
244,ARM1_20220602_154500_004.wav,0.0,3.0,0.7166,veheng
245,ARM1_20220602_154500_005.wav,0.0,3.0,0.6774,veheng
246,ARM1_20220602_154500_006.wav,0.0,3.0,0.5237,veheng
247,ARM1_20220602_154500_007.wav,0.0,3.0,0.6627,veheng
248,ARM1_20220602_154500_008.wav,0.0,3.0,0.5338,veheng
249,ARM1_20220602_154500_009.wav,0.0,3.0,0.7876,veheng
250,ARM1_20220602_154500_010.wav,0.0,3.0,0.7825,veheng
251,ARM1_20220602_154500_011.wav,0.0,3.0,0.7286,veheng
252,ARM1_20220602_154500_012.wav,0.0,3.0,0.6671,veheng
253,ARM1_20220602_154500_013.wav,0.0,3.0,0.7037,veheng
254,ARM1_20220602_154500_014.wav,0.0,3.0,0.6367,veheng
255,ARM1_20220602_154500_015.wav,0.0,3.0,0.706,veheng
256,ARM1_20220602_154500_016.wav,0.0,3.0,0.6552,veheng
257,ARM1_20220602_154500_017.wav,0.0,3.0,0.7962,veheng
258,ARM1_20220602_154500_018.wav,0.0,3.0,0.7507,veheng
259,ARM1_20220602_154500_019.wav,0.0,3.0,0.8243,veheng
260,ARM1_20220604_163000_000.wav,0.0,3.0,0.948,veheng
261,ARM1_20220604_163000_001.wav,0.0,3.0,0.8852,veheng
262,ARM1_20220604_163000_002.wav,0.0,3.0,0.9529,veheng
263,ARM1_20220604_163000_003.wav,0.0,3.0,0.9193,veheng
264,ARM1_20220604_163000_004.wav,0.0,3.0,0.9425,veheng
265,ARM1_20220604_163000_005.wav,0.0,3.0,0.8183,veheng
266,ARM1_20220604_163000_006.wav,0.0,3.0,0.7985,veheng
267,ARM1_20220604_163000_007.wav,0.0,3.0,0.8978,veheng
268,ARM1_20220604_163000_008.wav,0.0,3.0,0.8319,veheng
269,ARM1_20220604_163000_009.wav,0.0,3.0,0.7824,veheng
270,ARM1_20220604_163000_010.wav,0.0,3.0,0.8056,veheng
271,ARM1_20220604_163000_011.wav,0.0,3.0,0.8971,veheng
272,ARM1_20220604_163000_012.wav,0.0,3.0,0.8934,veheng
273,ARM1_20220604_163000_013.wav,0.0,3.0,0.885,veheng
274,ARM1_20220604_163000_014.wav,0.0,3.0,0.8397,veheng
275,ARM1_20220604_163000_015.wav,0.0,3.0,0.8632,veheng
276,ARM1_20220604_163000_016.wav,0.0,3.0,0.8757,veheng
277,ARM1_20220604_163000_017.wav,0.0,3.0,0.9042,veheng
278,ARM1_20220604_163000_018.wav,0.0,3.0,0.847,veheng
279,ARM1_20220604_163000_019.wav,0.0,3.0,0.9064,veheng
280,ARM1_20220605_090000_000.wav,0.0,3.0,0.8831,veheng
281,ARM1_20220605_090000_001.wav,0.0,3.0,0.7645,veheng
282,ARM1_20220605_090000_002.wav,0.0,3.0,0.8957,veheng
283,ARM1_20220605_090000_003.wav,0.0,3.0,0.9714,veheng
284,ARM1_20220605_090000_004.wav,0.0,3.0,0.9246,veheng
285,ARM1_20220605_090000_005.wav,0.0,3.0,0.8549,veheng
286,ARM1_20220605_090000_006.wav,0.0,3.0,0.8425,veheng
287,ARM1_20220605_090000_007.wav,0.0,3.0,0.8593,veheng
288,ARM1_20220605_090000_008.wav,0.0,3.0,0.8927,veheng
289,ARM1_20220605_090000_009.wav,0.0,3.0,0.9188,veheng
290,ARM1_20220605_090000_010.wav,0.0,3.0,0.8509,veheng
291,ARM1_20220605_090000_011.wav,0.0,3.0,0.8125,veheng
292,ARM1_20220605_090000_012.wav,0.0,3.0,0.7802,veheng
293,ARM1_20220605_090000_013.wav,0.0,3.0,0.8522,veheng
294,ARM1_20220605_090000_014.wav,0.0,3.0,0.8183,veheng
295,ARM1_20220605_090000_015.wav,0.0,3.0,0.9188,veheng
296,ARM1_20220605_090000_016.wav,0.0,3.0,0.914,veheng
297,ARM1_20220605_090000_017.wav,0.0,3.0,0.8103,veheng
298,ARM1_20220605_090000_018.wav,0.0,3.0,0.8537,veheng
299,ARM1_20220605_090000_019.wav,0.0,3.0,0.8789,veheng
300,ARM1_20220609_230000_000.wav,0.0,3.0,0.9005,veheng
301,ARM1_20220609_230000_001.wav,0.0,3.0,0.9207,veheng
302,ARM1_20220609_230000_002.wav,0.0,3.0,0.9499,veheng
303,ARM1_20220609_230000_003.wav,0.0,3.0,0.923,veheng
304,ARM1_20220609_230000_004.wav,0.0,3.0,0.9013,veheng
305,ARM1_20220609_230000_005.wav,0.0,3.0,0.8491,veheng
306,ARM1_20220609_230000_006.wav,0.0,3.0,0.8903,veheng
307,ARM1_20220609_230000_007.wav,0.0,3.0,0.8229,veheng
308,ARM1_20220609_230000_008.wav,0.0,3.0,0.941,veheng
309,ARM1_20220609_230000_009.wav,0.0,3.0,0.8986,veheng
310,ARM1_20220609_230000_010.wav,0.0,3.0,0.919,veheng
